BUSAGE,BUSTYPE,MAXLINEUTIL,DAYSDELQ,TOTACBAL,DEFAULT
41,A,0,0,22.98,N
37,A,0.023,0,23.08,N
65,D,0,0,23.16,N
32,A,0,0,23.19,N
12,B,0,0,23.48,Y
125,A,0,0,23.83,N
18,A,0,0,23.85,N
12,D,0.0095,0,23.9,N
21,C,0,0,24.53,N
71,B,0,0,24.65,N
87,B,0,0,24.7,N
70,A,0,0,24.92,N
74,D,0,0,25,N
91,A,0,0,25,N
104,A,0,0,25,N
147,A,0,0,25.06,N
19,B,0.0003,0,25.08,N
99,B,0,0,25.87,N
96,A,0,0,25.98,N
53,B,0.0002,0,26.01,N
53,A,0,0,26.01,N
55,B,0,0,26.98,N
,C,0,0,27.1,N
12,C,0.0014,0,28.16,N
81,F,0,0,28.38,N
60,A,0,0,28.43,N
52,A,,8,28.61,Y
35,A,0,0,28.81,N
13,A,0,0,28.99,N
75,A,0,0,29.19,N
120,A,0.0005,0,29.8,N
149,A,0,0,29.82,N
132,A,0.0005,0,29.83,N
182,B,0,0,29.92,N
25,A,0.001,0,30,N
513,B,0,0,30,N
493,B,0.0015,0,30.03,N
24,A,0.0005,0,30.21,N
82,B,0,0,30.8,N
134,B,0,0,30.93,N
123,B,0.0005,0,30.94,N
288,B,0.0003,0,31.07,N
232,B,0.0006,0,31.11,N
96,C,0.0006,0,31.14,Y
202,A,0.0015,0,31.18,N
59,B,0,0,31.23,N
191,A,0.0258,0,31.24,N
43,B,0,0,31.36,N
38,A,0,0,32.5,N
108,B,0,0,32.65,N
24,B,0.001,0,32.96,N
61,B,0,0,33.62,N
46,B,0,0,33.75,N
133,A,0,0,34.32,N
103,B,0,0,34.83,N
84,A,0.0017,0,34.85,N
61,B,0,0,34.97,N
87,A,0,0,35.1,N
12,A,0,0,35.11,N
66,A,0,0,35.13,N
196,B,0.0003,0,35.45,N
33,A,0,0,35.48,N
12,B,0,0,36,Y
52,A,0.0006,0,36.01,N
22,B,0.0018,0,36.02,N
102,B,0.0007,0,36.06,N
172,D,0,0,36.07,N
13,B,0.0144,0,36.15,N
104,A,0.0003,0,36.2,N
336,A,0.0004,0,36.26,N
293,A,0.0003,0,36.56,N
87,B,0.0007,0,36.59,N
257,A,0.0003,0,36.62,N
67,B,0,0,36.63,N
269,A,0.0003,0,36.74,N
63,A,0,0,36.84,N
49,B,0,0,37.79,N
281,A,0.0003,0,38.12,N
241,A,0,0,38.37,N
282,C,0.2333,0,38.67,N
54,A,0.0019,0,39.11,Y
82,B,0,0,39.36,N
42,A,0,0,39.62,N
48,A,0.0066,0,39.82,N
112,A,0,0,40.03,N
25,A,,0,40.23,Y
186,B,0,0,41.47,N
108,A,0.0001,0,41.97,Y
167,A,0.0005,0,42.8,N
269,B,0,0,43.08,N
111,B,0.0007,0,43.48,N
225,C,0.0012,0,43.5,N
162,A,0.0007,0,43.95,N
267,A,0.0011,0,44.26,N
69,B,0.0008,0,44.41,N
19,A,0,0,44.58,N
53,A,0,0,44.92,N
171,A,0,0,46.06,N
48,C,0.3286,0,46.61,N
70,B,0.0031,0,46.84,N
54,A,0,0,47.72,N
37,A,0,0,48.21,N
104,A,0,0,48.47,N
28,A,0.0009,0,48.61,N
81,A,0,0,48.77,N
108,B,0,0,50.14,N
60,B,0,0,50.21,N
89,B,0,0,50.48,N
230,A,0.0016,0,50.69,N
27,A,0.0066,0,52.92,Y
30,D,0.0026,0,52.94,N
33,A,0,0,52.99,N
12,B,0,0,53.04,N
87,A,0,0,54.71,N
24,D,0.0136,0,54.77,N
12,A,0,0,55.06,N
12,A,0,0,56.1,N
105,B,0,0,56.17,N
160,B,0,0,56.25,N
39,A,0.0011,0,56.43,N
54,B,0.0011,0,56.73,N
17,A,0,0,57.15,N
141,A,0,0,57.71,Y
160,B,0,0,58.31,N
156,A,0,0,58.59,N
95,D,0,0,58.9,N
51,B,0,0,58.99,N
90,A,0,0,59,N
165,B,0.0059,0,59.41,N
163,B,0.0005,0,59.86,N
28,D,0,0,59.93,Y
77,A,0,30,60.17,N
103,B,0,0,61,N
242,D,0.0012,0,61.13,N
51,A,0.0124,0,61.77,Y
17,A,0,0,62.09,Y
41,D,0,0,62.35,N
14,A,0,0,62.84,N
40,A,,0,62.88,N
24,D,0.0253,0,63.26,N
103,A,0,0,64.56,N
25,D,0,0,64.99,N
121,A,0.0013,0,65.19,N
93,B,0,0,65.45,N
211,A,0.0008,0,66,N
27,A,0,0,66.59,N
36,A,0.0015,0,67.37,N
278,B,0.0027,0,67.9,Y
59,D,,0,68.46,N
105,A,0,0,68.74,N
182,A,0.0006,0,68.97,N
110,A,0,0,69.07,N
170,A,0,0,69.29,N
244,B,0.0009,0,69.49,N
362,C,0,0,70,N
258,B,0.0014,0,70.12,N
12,C,0,0,70.14,N
183,A,0.0008,0,70.33,N
55,B,0,0,70.4,N
168,A,0,0,70.59,N
170,A,0,0,70.69,N
63,A,0.0017,0,70.73,Y
255,A,0.0017,0,70.78,N
82,D,0,0,71.05,N
224,B,0.0007,0,72.13,N
281,B,0,0,72.21,N
56,D,0,0,72.24,N
87,B,0.0018,0,72.25,N
115,A,0,0,72.62,N
102,A,0.0016,0,72.97,N
272,A,0,0,73.61,N
78,B,0.0073,0,73.82,N
65,B,0.0021,0,73.97,N
49,D,0.0014,0,74.03,N
68,B,0,0,74.94,N
54,B,0,0,75.4,N
45,B,0,0,75.44,N
24,B,0,0,75.61,N
53,D,0,0,75.79,N
77,B,0,0,75.86,N
24,C,0.005,0,75.91,N
13,D,0,0,76.33,N
44,B,0.0431,0,78.38,N
59,A,0.0007,0,78.55,N
99,A,0,0,78.61,N
290,D,0,0,79.27,N
36,A,0,0,79.38,N
87,B,0,0,79.57,N
149,A,0.0027,0,81.44,N
426,C,0,0,81.75,N
51,D,0,0,81.99,N
113,B,0.0054,0,82.18,N
57,A,0,0,82.45,N
310,D,0,0,83.75,N
81,B,0,0,83.83,N
47,A,0,0,84.71,N
53,A,0.0008,0,84.85,N
241,A,0,0,85.97,N
189,A,0.0017,0,85.99,N
35,A,0.0043,0,86.08,N
319,D,0.0008,0,86.2,N
12,D,0,0,86.2,N
29,A,0.0043,0,86.59,Y
47,B,0.0028,0,86.65,Y
36,C,0,0,87.67,N
12,A,0,0,87.78,N
91,B,0,0,88.54,N
720,B,0,0,88.79,N
51,B,0,0,88.96,N
289,A,0.0118,0,89.12,N
128,A,0,0,90.05,N
144,B,0,0,90.09,N
368,A,0,0,90.24,N
151,B,0,0,90.29,N
103,A,0,0,90.78,N
75,A,0,0,90.97,N
64,A,0,0,91.2,N
132,B,0.0018,0,91.51,Y
122,A,0,0,92.66,N
,F,0,0,92.7,N
59,B,0,0,92.86,N
64,A,0,0,93.08,N
174,A,0,0,93.09,N
151,B,0,0,93.68,N
20,A,0,0,94.13,N
159,C,0.0009,0,94.37,N
23,B,0,0,94.91,N
101,B,0.0019,0,95.27,N
25,A,0.0238,1,95.29,N
98,A,0,0,95.74,N
279,A,0,0,96.1,N
41,A,0,0,96.8,N
122,C,0.0024,0,96.82,N
36,A,0,0,97.05,N
398,C,0.0012,0,97.43,N
68,D,0,0,97.77,N
192,D,0,0,97.82,N
121,B,0,0,97.98,N
73,A,0,0,98.04,N
59,A,0.0049,0,98.06,N
132,A,0,30,98.51,N
36,A,0,0,98.53,N
28,B,0,0,98.89,N
13,A,0,0,99.52,N
137,A,0.0022,0,99.95,N
111,B,0,0,100.96,N
36,D,0,0,101,N
37,D,0,0,101.42,N
208,A,0,0,101.43,N
99,A,0,0,101.57,N
,F,0,0,101.78,N
209,D,0,0,101.97,N
12,B,0,0,102.66,N
86,A,0.0102,0,102.87,N
56,A,0,0,103.37,N
77,B,0.0013,0,104.8,N
36,B,0,0,105.4,N
41,A,0,0,105.47,N
26,B,0.139,0,105.55,N
64,A,0,0,105.86,N
170,A,0,0,106.13,N
14,B,0,0,106.14,N
200,B,0.0035,0,106.17,N
224,B,0,0,106.47,N
37,A,0,0,106.59,N
37,A,0,0,106.88,N
83,A,0,0,107.7,N
238,A,0,0,108.79,N
12,A,0,0,109.41,N
212,A,0,0,109.47,N
60,A,0.0021,0,109.55,N
106,A,0,0,109.77,N
183,A,0.0011,0,110.71,N
66,A,0,0,111.18,N
46,C,0,0,111.32,N
13,A,0,2,111.33,N
40,A,0,0,111.79,N
88,A,0,0,111.96,N
30,A,0.0065,0,112.44,N
60,A,0.0022,0,112.59,N
36,B,0.0022,0,112.93,N
66,D,0.0452,0,113.16,N
82,A,0.0228,0,113.63,Y
184,B,0,0,113.74,N
36,A,0,0,113.81,N
19,A,0,2,114.21,N
116,A,0.0011,0,114.92,N
24,A,0.0288,0,115.45,N
26,A,0,0,115.71,N
24,A,0,0,115.96,N
202,D,0,0,116.42,N
62,B,0,0,116.57,N
25,A,0.0651,0,116.77,N
63,D,0,0,117.33,N
53,A,0.0078,0,118.01,N
25,D,0,0,118.13,N
71,A,0,0,119.1,N
130,A,0,0,119.43,N
121,D,0,0,119.91,N
32,A,0,0,120.51,N
210,B,0.1181,0,121.16,N
28,A,0.0056,0,121.19,Y
185,A,0,0,121.38,N
90,A,0,0,122.18,N
68,A,0.002,0,122.34,N
91,A,0.0218,0,122.68,N
17,A,0,0,123.03,N
198,B,0.0012,0,123.92,N
41,A,0.0124,0,124.08,N
13,A,0.0248,0,124.42,N
302,A,0,0,124.97,N
155,B,0,0,125.48,N
60,A,0,0,126.92,N
12,A,0.4074,1,127.19,N
275,B,0,0,127.51,N
282,A,0,0,127.74,N
36,A,0.0028,0,128.22,N
286,B,0.0085,0,128.87,N
103,A,0,0,128.89,N
49,A,0,0,129.47,N
318,A,0.052,0,130.03,N
71,B,0,0,130.43,N
39,B,0,0,131.48,N
184,A,0.0017,0,131.56,N
55,A,0,0,131.73,N
46,A,0.0132,0,132.54,N
28,A,0,0,132.78,N
99,A,0,0,133.14,N
59,B,0.0334,0,133.68,N
640,A,0,0,134.55,N
80,B,0.0089,0,134.96,N
60,C,0.0027,0,135.32,N
113,C,0.0035,0,137.48,Y
41,A,0,0,137.63,N
37,A,0,60,137.95,Y
119,A,0,0,138.05,N
167,B,0.0035,0,138.76,N
64,A,0,0,139.08,N
59,A,0,0,139.15,N
60,A,0,0,139.62,N
270,B,0.0028,0,140.03,N
24,A,0,0,140.13,N
165,D,0,0,140.27,N
166,A,0,0,140.72,N
223,B,0,0,140.75,N
423,A,0,0,141.19,N
66,D,0,0,141.47,N
,F,0,0,141.49,N
142,A,0,0,141.57,N
133,C,0,0,141.99,N
285,A,0,0,142.45,N
51,A,0.5057,0,143.6,Y
29,A,0,0,144.01,N
159,B,0,0,144.44,N
47,C,0,0,144.45,N
197,D,0,0,144.47,N
58,B,0.0321,0,144.82,Y
24,D,0,0,144.82,N
80,A,0,1,145.17,N
44,A,0,0,145.24,Y
324,A,0.0032,0,146.92,N
91,A,0,0,148.17,N
53,B,0,0,148.19,N
17,A,0.0593,0,148.45,N
37,A,0.0018,0,148.82,N
71,A,0,0,149.02,N
74,B,0.0033,0,149.53,Y
62,A,0,0,149.8,N
114,B,0,0,149.92,N
28,A,0.015,0,150.33,N
69,A,0,0,150.79,N
24,B,,0,150.86,N
15,A,0.01,0,150.93,N
151,A,0,0,151.34,N
181,A,0,0,151.63,N
62,A,0,0,151.68,N
51,B,0,0,152.05,N
58,B,0,0,153.02,N
12,A,0,0,154.22,N
89,A,0.0154,0,154.4,Y
13,A,0,0,154.59,N
120,B,0.0155,1,155.65,N
13,A,0,0,155.81,N
20,A,0,0,156.29,N
80,A,0.026,0,156.34,N
67,A,0,0,156.42,N
64,D,0.0062,0,156.49,N
96,B,0.0031,0,157.53,N
259,A,0,0,158.02,N
24,B,0,0,159.59,N
35,A,0.08,0,160.22,N
49,A,0,0,160.69,N
120,B,0.0324,0,161.8,N
224,A,0,0,163.34,N
84,A,0.0054,0,164.36,N
472,A,0,0,165.44,N
141,A,0,0,165.78,N
338,A,0,0,165.83,N
346,D,0,0,166.08,N
14,A,0.0167,0,167.37,N
45,C,0,0,167.69,N
55,A,0.0022,0,168.47,N
72,B,0.0281,0,169.12,N
24,A,0.123,0,170.62,N
61,A,0,0,171.72,N
178,B,0,0,171.93,N
98,C,,0,171.96,Y
48,C,0,0,173.61,N
315,A,0.0034,0,173.77,N
104,A,0,0,173.86,N
50,A,0,0,175.37,N
79,A,0,0,175.53,N
84,B,0,0,176.7,N
13,A,0,0,176.83,N
70,A,,0,177.24,N
78,B,0,0,177.44,N
338,C,0.0022,0,177.45,N
66,D,0,1,178.77,N
35,A,,,179.4,N
37,A,0.1795,0,179.59,N
42,A,0,0,179.71,N
24,A,0.0722,1,180.73,Y
46,B,0,0,181.43,N
132,B,0.0091,0,182.41,N
189,A,0,0,182.55,N
296,B,0,0,182.84,N
25,C,0.1838,0,183.87,N
73,C,0,0,183.97,N
90,A,0,0,184.43,N
60,B,0.0024,0,185.03,N
48,C,0.0352,0,187.42,Y
13,A,0,0,188.74,N
699,B,0,0,189.27,N
38,A,0,0,190.18,N
61,B,0,0,190.41,N
520,B,0.0019,0,191.09,N
63,B,0,0,191.79,N
73,A,0,0,192.15,N
282,A,,1,192.42,N
65,B,0.0032,0,192.46,N
132,B,0,0,192.85,N
132,A,0,0,192.95,N
96,B,0,0,193.53,N
68,A,0,0,193.97,N
66,A,0,9,194.08,N
23,D,0.0129,0,194.31,N
64,B,0.0032,0,195.1,N
36,B,0,0,196.14,N
87,A,0,0,196.31,N
479,A,0,0,196.36,N
48,A,0.0131,0,196.6,N
311,B,0,0,197.49,N
42,B,0.0079,0,197.96,N
91,A,0,0,199.26,N
13,B,0,0,199.76,N
203,B,0.01,0,200.9,N
185,A,0,0,200.91,N
46,B,0.0067,0,201.22,N
12,C,0.004,0,201.43,N
47,D,0,0,201.86,N
36,D,0,0,202.82,Y
49,A,0,0,204.07,N
24,A,0,0,204.09,N
243,A,0,0,204.48,N
15,A,0,0,204.71,N
25,A,0.0102,0,205.66,N
39,B,0,0,206.44,N
138,A,0,0,206.6,N
32,A,0,0,206.71,N
14,A,0.0115,0,207.39,N
12,A,0.1924,0,207.49,N
142,A,0,0,207.8,N
37,B,0,0,208.31,N
145,A,0,0,208.6,N
53,A,0,0,209.37,N
399,A,0.0059,2,209.5,N
57,A,0,0,209.94,N
165,A,0.9401,0,210.28,N
230,A,0.0084,0,210.65,N
51,A,0,66,211.05,N
55,D,0,0,211.12,N
61,A,0,0,211.79,N
36,B,0,0,211.81,N
46,B,0,0,214.11,N
109,A,0,0,214.29,N
88,A,0,0,214.43,N
136,A,0,0,215.21,N
57,A,0,0,216.35,N
146,A,0.0086,0,217.13,N
180,B,0,0,217.67,N
77,A,0,0,217.89,N
36,B,0.0036,0,218.24,N
25,A,0,0,218.63,N
164,A,0,0,219.04,N
29,A,0.0021,0,220.91,Y
142,D,0,0,221.16,N
182,A,0,0,221.27,N
39,A,0.0088,0,221.41,N
12,B,0.0369,0,221.46,N
74,A,0,60,222.42,Y
70,A,0,0,223.16,N
95,B,0,0,223.9,N
57,A,0.005,0,225.03,N
41,A,0.2252,0,225.2,N
101,A,0.015,0,225.76,N
36,D,,0,227.39,N
471,B,0.0229,0,229.51,N
40,B,0,0,229.74,N
240,A,0.0023,0,230.62,N
157,C,0,0,230.75,N
415,A,0,0,230.85,N
31,D,0,0,231.66,N
21,B,0,0,231.86,N
15,A,0,0,234.45,N
77,D,0,0,234.47,N
254,A,0,0,235.99,N
217,B,0,0,236.06,N
48,A,0.0059,0,237.07,N
259,D,0,4,238.19,N
37,A,,0,239.33,N
12,B,0,0,239.6,N
196,B,0,0,240.09,N
229,A,0,0,240.34,N
175,A,0.012,0,241.6,N
95,A,0,0,241.74,N
24,A,0,0,241.75,N
170,B,0,0,242.12,N
39,B,0.0034,0,243.5,N
65,A,0,0,243.98,N
180,A,0,0,244.02,N
46,B,0,0,244.33,N
44,C,0,0,245.05,N
297,A,0,0,245.16,N
90,A,0,0,247.92,N
77,D,0,0,248.23,N
77,A,0,0,248.3,N
49,B,0,0,248.93,N
210,A,0.0024,0,249.34,N
35,B,0.0251,2,251.31,N
80,A,0,0,252.09,N
106,A,0,0,252.82,N
392,A,0.005,0,253.41,N
35,A,0.0042,0,253.43,N
27,B,0.0085,0,256.51,N
152,D,0,0,256.56,N
27,A,0,0,258.05,N
13,A,0.1035,0,258.98,N
85,C,0,0,258.98,N
58,A,0.0051,0,259.55,N
27,D,0.0173,0,259.79,N
13,A,0.0259,0,259.89,N
200,A,0,0,260.5,N
19,A,0,0,260.99,N
13,D,0,0,261.03,N
68,A,0,0,261.47,N
35,A,0,0,261.53,N
114,A,0.0035,0,266.04,N
47,D,0.0666,0,266.67,N
29,A,0,0,266.74,N
14,B,0.0053,0,267.65,Y
27,B,0.0538,0,269.21,N
25,D,0,0,269.4,N
24,A,0,0,270.3,N
51,B,0,0,270.59,N
25,A,0,0,270.73,N
56,D,0,0,272.89,N
19,C,0,0,272.92,N
89,A,0.0366,0,275.19,N
24,D,0,0,276.3,N
51,A,0,0,277.44,N
24,A,0,0,277.88,N
67,B,0,0,278.75,N
24,A,0.0697,0,278.95,N
28,A,0,0,279.56,N
66,A,0.0111,0,279.97,N
161,B,0,0,280.09,N
39,A,0.0186,0,280.18,N
50,A,0,0,281.64,N
169,A,0,0,282.06,N
199,A,0.0566,0,282.52,N
68,D,0,0,283.81,N
81,B,0,0,285.21,N
175,B,0,0,285.89,N
40,A,0,32,286.18,Y
244,A,0.0028,0,286.35,N
52,C,0.0057,0,287.05,N
69,D,0.144,0,287.65,Y
192,A,0,0,287.65,N
25,B,0,0,287.93,N
277,A,0,0,288.12,N
36,A,,0,288.58,Y
90,A,0,0,288.93,N
140,A,0,0,290.53,N
24,A,0,0,291.36,N
77,D,0,0,291.92,N
160,B,0,0,294.65,N
13,A,0,0,296,N
12,A,0,0,296.37,N
69,B,0.198,0,297.22,N
13,A,0.0594,0,297.34,N
70,B,0,0,298.28,N
170,A,0,0,298.49,N
73,B,0,0,299.01,N
14,B,0,0,299.04,N
81,B,0,0,299.92,N
40,B,0,0,300.06,N
212,A,0.05,0,300.08,N
49,A,0,0,300.27,N
41,A,0,0,300.59,N
105,A,0.015,0,300.69,Y
58,B,0.1585,1,300.99,Y
155,A,0,0,301.93,N
14,A,0,0,302.21,N
123,B,0.0076,0,304.18,N
113,A,0,0,305.43,N
220,B,0,0,305.85,N
46,B,,0,307.05,Y
64,B,0,0,307.69,N
84,A,0.0051,0,309.52,N
166,A,0.0123,0,309.85,N
110,A,0,0,310.79,N
294,C,0,0,311.84,N
39,A,0.3121,0,312.1,N
146,A,0,0,313.14,N
100,B,0,0,313.7,N
194,B,0,0,315.56,N
24,A,0,0,315.8,N
87,D,0,0,316.06,N
22,A,0.0158,0,316.1,N
60,A,0.0158,0,316.83,N
179,A,0,0,316.91,N
48,A,0.0158,0,317.24,N
232,B,0.0063,0,317.66,N
66,A,0.0106,2,319.55,N
88,B,0.0401,0,320.99,N
1317,A,0.0058,0,322.89,N
64,B,0,0,323.33,N
42,A,0,0,323.66,N
202,A,0,0,325.69,N
61,A,0,0,326.09,N
121,B,0.1305,0,326.39,N
58,A,0,0,328.81,N
144,B,0.0082,0,329.44,N
25,D,0.0165,0,331.05,N
13,A,0.0332,0,332.34,N
48,A,0,0,332.64,N
26,A,0.0066,0,332.86,Y
12,A,0,0,333.8,N
38,A,0.0111,0,334.02,N
306,A,0.1336,0,334.04,N
29,A,0,0,334.19,N
16,A,0,0,334.24,N
46,B,0.0224,0,336.13,N
74,A,0.0099,0,336.81,Y
88,B,0.0067,0,337.5,N
76,A,0,0,337.5,N
229,A,0,0,337.52,N
14,A,0.0563,0,337.93,N
197,B,0.0067,0,339.12,N
27,B,0,0,339.67,N
12,D,0,0,340.23,N
12,C,0,0,340.28,N
24,A,0,0,340.31,N
48,A,0.017,0,340.99,N
85,A,0,69,341.78,Y
143,C,0,0,341.95,N
89,A,0.0076,0,342.02,N
26,A,0.038,0,342.72,N
104,B,0,0,343.21,N
31,C,0,0,344.61,N
102,B,0.0574,0,344.83,N
37,B,0.0034,0,345.16,N
23,A,0.0138,0,347.11,N
52,A,0.0138,0,347.23,N
45,D,0.0069,0,347.95,N
51,A,0,0,348.46,N
50,B,0.0058,0,350.1,N
174,D,0.0438,0,350.71,N
63,A,0.0072,0,351.63,N
112,A,0,0,351.66,N
120,A,0,0,351.71,N
75,A,0,0,352.02,N
50,A,0,0,352.11,N
66,D,0,0,352.65,N
42,A,0,0,353,N
27,A,0,0,353.59,N
69,A,0.007,0,353.82,N
205,B,0.0236,0,354.78,N
44,B,0,0,355.5,N
99,A,0,0,355.86,N
13,A,0.0712,0,355.99,Y
211,A,0,0,356.32,N
75,B,0,0,357.15,N
130,B,0,0,358.01,N
36,B,0.3581,0,358.19,N
234,A,0,0,358.5,N
164,A,0.0361,0,361.21,N
24,A,0.2357,1,361.72,N
337,D,0,0,362.02,N
54,A,0,0,362.58,N
38,B,0,0,363.27,Y
51,A,0,0,363.76,N
34,B,0.3647,0,364.75,N
,F,0,0,364.86,N
96,A,0.0081,0,367.34,N
73,D,0,0,367.57,N
89,A,0,0,367.78,N
34,B,0,0,368.03,N
360,C,0,0,369.71,N
417,A,0,0,370.71,N
36,A,0,0,371.53,N
142,C,0.0248,0,373.16,Y
96,A,0,0,373.69,N
64,B,0,0,374.61,N
194,C,0,0,374.76,Y
184,B,0.0374,0,374.89,N
231,B,0.0187,0,374.93,N
37,B,0,0,377.42,N
92,B,0,0,377.52,N
36,D,0.3776,0,377.64,N
127,A,0.0094,0,378.21,N
93,A,0,0,378.32,N
79,A,0.0189,0,378.64,N
33,A,0.0254,0,381.54,N
28,A,0,0,382.24,N
241,A,0,0,383.37,N
65,A,0,0,384.05,Y
25,A,0.0481,0,384.82,N
108,B,0,0,385.64,N
61,D,0,0,386,N
28,A,0,0,386.03,N
173,A,0,0,387.81,N
32,A,0,0,388.6,N
354,A,0,0,388.9,N
179,A,0.0195,0,389.74,N
54,A,0,0,390.06,N
14,B,0.391,0,391.01,N
111,A,0,0,393.68,N
55,B,0.0197,0,394.34,N
14,A,0,0,395.85,N
128,A,0,0,396.25,N
41,D,0,0,396.28,N
29,A,0.0495,0,396.37,N
17,A,0,0,396.49,N
16,C,0,0,398.11,N
246,A,0.4509,0,399.03,N
137,B,0.0665,0,399.4,N
43,A,0.008,0,400.99,N
162,A,0,0,402.08,N
123,C,0,0,402.43,N
145,A,0.0268,0,403.22,N
159,C,0,0,403.74,N
61,B,0.0269,0,404.06,N
23,A,0.0812,0,405.5,N
372,A,0.004,0,406.96,N
60,B,0,28,407.5,N
88,A,0,0,407.51,N
240,A,0.0135,0,407.65,N
58,A,0.0054,0,408.62,N
40,C,0,0,409.27,N
124,A,0,0,409.48,N
308,A,0.0051,0,410.23,N
38,B,0.0512,0,410.37,N
13,A,0,0,411.07,N
12,C,0,0,411.4,N
72,C,0.0825,0,412.58,N
60,B,0.0689,0,413.47,N
220,B,0,0,414.12,N
138,A,0.0138,0,414.85,N
219,D,0,0,415.02,N
60,A,0.0103,0,415.32,N
30,C,0,0,415.75,N
87,A,0,0,419.01,N
266,D,0,0,419.75,N
283,A,0,0,419.81,N
36,A,0,0,423.33,N
37,A,0,0,424.16,N
552,B,0,0,426.1,N
390,C,0,0,428.25,N
361,A,1.7356,0,428.42,N
28,A,0,0,430.42,N
38,A,0,0,430.66,Y
14,B,0,0,430.8,N
65,A,0.0071,0,430.92,N
250,C,0,0,431.93,N
523,A,0.0057,0,432.9,N
13,A,0,0,433.35,N
232,A,0,0,436.32,N
275,A,0,0,437.08,N
168,B,0.1097,0,439.12,N
159,A,0,0,439.26,N
87,C,0,0,439.51,N
188,A,0.0088,0,440.23,N
146,A,0,0,440.51,N
101,A,0.1102,0,441.1,N
27,A,0,0,443.05,N
214,C,0,0,443.18,N
223,A,0,0,443.22,N
77,B,0.0888,0,444.37,N
389,D,0,0,444.89,N
324,A,0.0049,0,444.94,N
78,D,0,0,445.89,N
49,A,0.0149,0,447.69,N
54,A,0,0,447.85,N
77,A,0,0,448.61,N
61,A,0.0224,0,448.64,N
89,D,0,0,448.64,N
106,A,0,0,449.18,N
69,A,0,0,450.03,N
73,A,0,0,450.62,N
26,C,0.009,0,451.96,N
64,A,0,0,452.54,N
36,C,0,0,452.86,N
48,A,0,0,454.36,N
26,C,0,0,454.45,N
142,B,0.0045,0,455.25,N
51,A,0,0,455.89,N
107,A,0.0521,0,456.16,N
104,B,0,0,456.32,N
247,C,0.0091,0,456.66,N
109,A,,0,456.83,N
37,A,0.006,0,457.03,N
27,A,0,0,457.94,N
50,A,0.0152,0,458.31,N
61,A,0.0091,0,458.55,N
175,A,0,0,459.4,N
203,A,0,0,463.17,N
37,A,0.1158,0,463.41,N
171,A,0,0,465.18,N
80,B,0.0078,0,468.13,N
78,A,0,0,468.3,N
29,A,0.0046,0,469.91,N
55,A,0.0313,0,470.55,N
47,A,0,0,470.96,N
12,B,0.0785,0,471.48,Y
