,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
6024,568431720707579904,neutral,1.0,,,Southwest,,judesnews9222,,0,@SouthwestAir adds new direct flights from #Columbus to Oakland &amp; Boston starting August 2015 #cmh #oak #bos,,2015-02-19 07:27:37 -0800,"Columbus, Ohio",
8148,568703064691113984,neutral,1.0,,,Delta,,WallNyc,,0,@JetBlue how much for a trip to a warm island @SamChampion http://t.co/N3SUIip0VW,,2015-02-20 01:25:51 -0800,,
8582,568146952635854848,neutral,1.0,,,Delta,,JetBlueNews,,0,@JetBlue Statement on #Lufthansa Incentive Offer - Stockhouse http://t.co/obF9jbPc6A,,2015-02-18 12:36:03 -0800,USA,Sydney
11477,568080078875324416,negative,1.0,Customer Service Issue,1.0,US Airways,,suzanneboles,,0,"@USAirways Also, we are in family crisis &amp; you charge full price for all these flights, PLUS $200 2 change flights, even for emergencies.",,2015-02-18 08:10:19 -0800,"London, ON'",Eastern Time (US & Canada)
1402,569740316577632256,negative,1.0,Lost Luggage,1.0,United,,melonbee,,0,@united 24 hrs since flight landed and ZERO info on my missing bag? rough ETA would be hugely helpful + restore some confidence,,2015-02-22 22:07:31 -0800,,Eastern Time (US & Canada)
13880,569696824061235200,positive,0.6945,,,American,,TimMoore,,0,"@AmericanAir Yes, thanks for checking. Very cramped, but got on &amp; made it safely. Flying back tomorrow at 1pm. http://t.co/CSddCCMvbD",,2015-02-22 19:14:41 -0800,New York | Hong Kong ,Eastern Time (US & Canada)
8119,568768028831289344,negative,1.0,Customer Service Issue,0.3508,Delta,,tlrichmond,,0,@JetBlue   Phone agents can't see same flights I see online???  Can't change tickets even when I am paying. Very frustrating #jetblue,,2015-02-20 05:43:59 -0800,,Atlantic Time (Canada)
8352,568444359391252480,negative,0.6831,Late Flight,0.6831,Delta,,smsuconn,,0,"@JetBlue dont get me wrong i love flying with you. Tv, free bags and descent fares. The recent plane problems are just annoying.",,2015-02-19 08:17:51 -0800,"Alexandria, VA",Eastern Time (US & Canada)
873,570043574097555456,negative,1.0,Can't Tell,0.6702,United,,mllovelace,,0,“@united: @mllovelace The baggage fee is waived for Premier members. Please see http://t.co/u6Duw27mDE. ^JP” what's the point of membership?,,2015-02-23 18:12:33 -0800,"San Francisco, CA",Pacific Time (US & Canada)
2932,568826499597524992,negative,1.0,Flight Attendant Complaints,0.6746,United,,44Stocker,,0,@united flight 1219. My frustration boiled over after dealing with attendant. Her attitude was ridiculous.,,2015-02-20 09:36:20 -0800,,
8349,568448110256640000,positive,1.0,,,Delta,,smsuconn,,0,@JetBlue thank you!,,2015-02-19 08:32:45 -0800,"Alexandria, VA",Eastern Time (US & Canada)
11339,568194427904069632,negative,1.0,Customer Service Issue,1.0,US Airways,,NickAbel5,,0,"@USAirways I appreciate that you actually monitor Twitter, so please  pass along my feedback. I've tried calling about 15 times in 4 days :(",,2015-02-18 15:44:42 -0800,,
3978,567894706325188608,negative,1.0,Late Flight,0.6939,United,,caphotographix,,0,"@united yup, it just happens way too often...5 times in the last 12 months",,2015-02-17 19:53:43 -0800,,
11385,568155779225788416,neutral,1.0,,,US Airways,,hotcakes_33,,0,@USAirways I have a flight in Saturday from MCI to CLT and there's heavy snow predicted in MCI. When will u allow for changes?,,2015-02-18 13:11:08 -0800,"Charlotte, NC",Eastern Time (US & Canada)
6937,570006917927575552,negative,0.7104,Flight Booking Problems,0.3595,Delta,,babasnooker,,0,@JetBlue does transferring trueblue points within family pooling members cost $? This is after having set up contribution-to-pool already.,,2015-02-23 15:46:54 -0800,,
7980,568908255310827520,neutral,0.66,,,Delta,,mkboston13,,0,@JetBlue Thanks. Which day of the week is the direct?  The flights I saw went thru JFK   ☀️,,2015-02-20 15:01:12 -0800,shopping. anywhere  ,Quito
12727,570044138302808064,neutral,1.0,,,American,,DeputyBrans,,0,@AmericanAir Do you have any flights with lie flat seating from STL to PDX around the date of March 5?,,2015-02-23 18:14:48 -0800,,
3720,568170405552205824,negative,0.7047,Bad Flight,0.7047,United,,christinebpc,,0,@united nope. Really. No window at all for 10A. 10F has one. 8 and 11 has one. None for 10A. So sad...,,2015-02-18 14:09:15 -0800,"Houston, Texas",Central Time (US & Canada)
7014,569954824265076737,neutral,1.0,,,Delta,,OhGreat_Aldana,,0,"“@JetBlue: Our fleet's on fleek. http://t.co/pa7dCjXlzL”

C'mon fam😭😭 just. No. Ok?",,2015-02-23 12:19:54 -0800,,Eastern Time (US & Canada)
10679,568990617394647040,negative,1.0,Late Flight,0.6803,US Airways,,XtianinNYC,,0,@USAirways How dirty does the damn plane have to be to take an hour to get the plane cleaned??? Refund me my miles😡. #wasteoftime #theworst,,2015-02-20 20:28:29 -0800,,Eastern Time (US & Canada)
7149,569925190236442624,negative,1.0,Flight Attendant Complaints,0.6353,Delta,,StullaDaggera,,0,"But, are your flight attendants fucking tho? RT @JetBlue: Our fleet's on fleek. http://t.co/wGYzTnjCXm",,2015-02-23 10:22:08 -0800,Morning Wood Terrace ,Central Time (US & Canada)
6515,567806501402976257,neutral,1.0,,,Southwest,,livvyports16,,1,@SouthwestAir when will the winners of #DestinationDragons be announced?,,2015-02-17 14:03:13 -0800,,
2467,569186762947493888,negative,1.0,Customer Service Issue,0.6635,United,,your_ride_dear,,0,"@united no announcement re extra baggage, ""find an empty bin"" down to aisle 20 back up with baggage to my seat row 7. YOUR agents argueing",,2015-02-21 09:27:53 -0800,ONTARIO CANADA,
96,569909224521641984,negative,1.0,Customer Service Issue,0.6771,Virgin America,,ColorCartel,,0,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y,,2015-02-23 09:18:42 -0800,"Austin, TX",Mountain Time (US & Canada)
5174,569279532261203968,neutral,1.0,,,Southwest,,jamescalderwood,,0,@SouthwestAir The Opal Dragon book The Dragon (ALI) has woven his murdering ways from the Philippines to Australia http://t.co/c9p2ioSphM,"[0.0, 0.0]",2015-02-21 15:36:31 -0800,South Australia,
1358,569777329330884608,negative,1.0,Bad Flight,0.688,United,,BrendanPFarrell,,0,"@united Coach interior on UA 992 looked like it was salvaged from the 80s. Tiny unusable video, no power &amp; lifevests on the floor #UA992 …","[0.0, 0.0]",2015-02-23 00:34:35 -0800,New York/New Jersey,Eastern Time (US & Canada)
10808,568858974281314304,negative,1.0,Cancelled Flight,0.3431,US Airways,,CLChicosky,,0,"@USAirways &amp; also that I was told no comps, upgrades, etc. ReFlight Booking Problems is good enough. #usairwaysfail",,2015-02-20 11:45:23 -0800,,
624,570244711388065793,negative,1.0,Customer Service Issue,0.6669,United,,tuckerI84,,0,@united how do I get my account number if your website says email is unavailable?,,2015-02-24 07:31:48 -0800,NYC,
2483,569172396680175616,negative,1.0,Bad Flight,0.6727,United,,jrdnly,,0,"@united on SFO-&gt;AUS UA343 2/17, IS9JX1; my seat appears to have had a mite problem. Dr recently confirmed over 50 bug bites were mites",,2015-02-21 08:30:48 -0800,"iPhone: 50.079998,14.441111",Eastern Time (US & Canada)
1507,569693689766907904,neutral,1.0,,,United,,nottooshABBYYYY,,0,@united What are the chances of my flight to EWR from PIT being Cancelled Flighted tomorrow?,,2015-02-22 19:02:14 -0800,,Atlantic Time (Canada)
316,568775898234798081,negative,1.0,Flight Booking Problems,0.6667,Virgin America,,perMicah,,0,@virginamerica the manage itinerary section of your website seems to be broken for me https://t.co/2pUJvCElNg,,2015-02-20 06:15:16 -0800,"Brooklyn, NY",Quito
10514,569239087493857281,negative,0.6526,Late Flight,0.3579,US Airways,,POnions,,0,@USAirways what am I paying you $275 for?   Fly the damn plane!  Not one announcement from the crew.  Let me know how you wanna refund me.,,2015-02-21 12:55:49 -0800,"CT, USA",Central Time (US & Canada)
8402,568423284401836032,negative,1.0,Customer Service Issue,1.0,Delta,,yippersNY,,0,@JetBlue she hung up before I can get name. She took no accountability for keeping me on hold +20min. Next rep was not able to track name,,2015-02-19 06:54:06 -0800,,
7847,569189652080533504,neutral,1.0,,,Delta,,j_romaine,,0,@JetBlue Even 5 years after the earthquake...Haiti still needs helps in rebuilding #flyingitforward,,2015-02-21 09:39:22 -0800,Coming to a City Near You!,
14171,569659173044129792,negative,1.0,Late Flight,0.6318,American,,WishUpon_26,,0,@AmericanAir I have been waiting at this airport since 11 am and have to wait until 8:30 tomorrow and cannot get any sort of help!,,2015-02-22 16:45:05 -0800,KY,Eastern Time (US & Canada)
12997,569964335038124033,negative,1.0,Customer Service Issue,0.657,American,,aepleiss,,0,@AmericanAir I don't believe it's acceptable to have a ticket # changed after check in time &amp; not be notified. Apparently that's standard.,,2015-02-23 12:57:41 -0800,,
832,570059530567962624,negative,1.0,Can't Tell,1.0,United,,_mhertz,,1,@united @AmericanAir so that's it? It just ends there? Come on! I traveled for literally an extra day and a half because of this!,,2015-02-23 19:15:57 -0800,,Pacific Time (US & Canada)
12535,570122962726039552,negative,0.6537,Can't Tell,0.3504,American,,sherscott,,0,@AmericanAir *does = doesn't,,2015-02-23 23:28:01 -0800,Houston,Central Time (US & Canada)
6360,567972426027565056,negative,1.0,Customer Service Issue,0.6633,Southwest,,hil_billy,,0,@SouthwestAir why is your website downnnnn :( ugh,,2015-02-18 01:02:33 -0800,,Eastern Time (US & Canada)
4886,569668677731274752,positive,0.6559,,,Southwest,,MrDockery_,,0,@SouthwestAir I (heart) my CP status. Sure would be nice to have though.,,2015-02-22 17:22:51 -0800,,Central Time (US & Canada)
11912,570299824760860672,positive,0.6666,,,American,,COVRTER,,0,"@AmericanAir Great, thanks. Followed.","[37.78618135, -122.45742542]",2015-02-24 11:10:48 -0800,"SF, CA",Central Time (US & Canada)
10254,569451523878420480,negative,1.0,Customer Service Issue,0.6583,US Airways,,minmill3,,0,@USAirways checked into my flight yesterday and have been bumped to a Tuesday flight! Unacceptable and no agents to speak to!,,2015-02-22 02:59:57 -0800,"Robesonia, PA",
2964,568813570709782529,neutral,0.6915,,0.0,United,,_mhertz,,0,@united just emailed Jim Compton and Jeff Smisek so hopefully you pay attention now,,2015-02-20 08:44:57 -0800,,Pacific Time (US & Canada)
8722,567903883047088128,negative,1.0,Damaged Luggage,0.7113,Delta,,michaelhakimkan,,0,"@JetBlue ripped my suitcase. I then was yelled at with attitude from Geraldine, your employee at the baggage center.Worst airline= #jetblue",,2015-02-17 20:30:11 -0800,,
2046,569438531686424577,negative,1.0,Customer Service Issue,1.0,United,,Whosgunz,,0,@united of course I would like hepl! Are you kidding me? That's the ONLY reason I've been on hold for the past 5 hours!,,2015-02-22 02:08:20 -0800,,
7704,569332001720967168,positive,1.0,,,Delta,,JummyTV,,0,@JetBlue @L_Burley11 -- the best!!!,,2015-02-21 19:05:01 -0800,"Washington, DC",Eastern Time (US & Canada)
11344,568187959276646401,negative,1.0,Late Flight,0.3441,US Airways,,mma718,,0,@USAirways the Late Flightr flight to Charleston is leaving before the flight scheduled earlier.  That's so wrong,,2015-02-18 15:19:00 -0800,"Queens, New York",
6392,567887437998997504,negative,1.0,Customer Service Issue,1.0,Southwest,,Lionheart_Lisa,,0,@SouthwestAir No one wants to commit to saying if this plane is getting Cancelled Flighted or not. Customer relations is closed. Patience gone.,,2015-02-17 19:24:50 -0800,Hanging with Carmen Sandiego.,Central Time (US & Canada)
13961,569685644449964032,negative,1.0,Flight Booking Problems,0.6858,American,,planedoc71,,0,@AmericanAir you guys fail again.. all I need to do is use my voucher for a ticket but I can't do it online #yourphonesystemsucks,,2015-02-22 18:30:16 -0800,,
11253,568284538914385920,negative,0.6699,Can't Tell,0.6699,US Airways,,KBStrauss,,0,"@USAirways thank you.3860 to cincy.just landed.you should add frequent flyer miles to my account..  a long, incredibly frustrating day",,2015-02-18 21:42:46 -0800,New York City,Eastern Time (US & Canada)
13456,569858330421694465,negative,1.0,Customer Service Issue,1.0,American,,jmariecastillo,,0,"@AmericanAir Telling frustrated customers ""we are super busy, please call back Late Flightr kthxbai"" and then hanging up is not the best practice.",,2015-02-23 05:56:28 -0800,,Pacific Time (US & Canada)
7236,569851813706539009,positive,1.0,,,Delta,,_PauLiNHa9,,0,@JetBlue 2324 from Orlando to Dca ! And my awesome flight attendant is Robert!,,2015-02-23 05:30:34 -0800,,
2859,568859726315827200,positive,1.0,,,United,,AndyA3,,0,@united thanks,,2015-02-20 11:48:22 -0800,San Francisco,Pacific Time (US & Canada)
8244,568560914779078656,positive,1.0,,,Delta,,dcooode,,0,"@JetBlue Although it wasn't totally the answer I was looking for, I appreciate the prompt response.",,2015-02-19 16:01:00 -0800,,
10344,569360552272769024,negative,1.0,Customer Service Issue,1.0,US Airways,,TheSanjR,,0,"@USAirways stranded at BWI after two diversions. No cust service, no transport. Dumped here. Terrible customer service!",,2015-02-21 20:58:28 -0800,,Eastern Time (US & Canada)
5703,568794864533385216,positive,1.0,,,Southwest,,Cindy318,,0,"@SouthwestAir Love, love, love this. Southwest Rocks!! Always!! https://t.co/q8VSfFRd1u",,2015-02-20 07:30:38 -0800,Indiana,Indiana (East)
14080,569670147893383168,negative,1.0,Customer Service Issue,1.0,American,,BobTheBruin,,0,"@AmericanAir Been trying to call all day, get hung up on every time. Your guys are horrible!",,2015-02-22 17:28:41 -0800,,
13449,569860677650636801,negative,1.0,Cancelled Flight,1.0,American,,chrisjennison,,0,@AmericanAir why Cancelled Flight #1605 on 6/25 &amp; 6/28? Flights now 4 hrs longer &amp;  have layovers. Too Late Flight to find a reasonably priced alternative.,,2015-02-23 06:05:47 -0800,@MontgomeryCoMD / SYR / HHI,Eastern Time (US & Canada)
12718,570046633418891264,negative,1.0,Late Flight,0.7192,American,,vickyyp__,,0,@AmericanAir I was suppose to be in FL 4 hours ago. And I'm not. I've been waiting for hours this is just ridiculous,"[41.95627333, -87.87860345]",2015-02-23 18:24:43 -0800,,Alaska
5832,568565272824582145,neutral,1.0,,,Southwest,,AdrienneCorn,,0,@SouthwestAir done.0,,2015-02-19 16:18:19 -0800,Nashville/Franklin,Central Time (US & Canada)
8776,567853709100720128,negative,1.0,Flight Attendant Complaints,1.0,Delta,,brian_cristiano,,0,@JetBlue tell your employees that!,,2015-02-17 17:10:49 -0800,"New York, New York",Eastern Time (US & Canada)
1119,569921652374577153,negative,0.6768,Late Flight,0.6768,United,,brianaverna,,0,@united flight 3763 IAd-Sat. We're on the outdoor track for an hour,,2015-02-23 10:08:05 -0800,"CT, NY and most other states",Eastern Time (US & Canada)
42,570016304284901379,neutral,1.0,,,Virgin America,,GottAmanda,,0,@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️,"[34.0219817, -118.38591198]",2015-02-23 16:24:11 -0800,Los Angeles,
716,570142263290011649,positive,1.0,,,United,,The5y5Adm1n,,0,@united thank you. Been trying for two days to set this up.,,2015-02-24 00:44:42 -0800,,
1425,569724056645140480,negative,0.6611,Flight Booking Problems,0.6611,United,,ljtypes,,0,"@united tried a different flight IAH-MNL 4/1/15-4/17/15, 6 flights are advertised for $1038 but are not bookable (due to partner error).",,2015-02-22 21:02:54 -0800,H-town,
905,570022345424834560,negative,1.0,Late Flight,0.6559,United,,hefeman,,0,@united has made my no fly list. Other airlines wait when connector Late Flight. Stuck in IAH.,,2015-02-23 16:48:12 -0800,Austin,Central Time (US & Canada)
3217,568589551477886977,negative,1.0,Late Flight,0.6709999999999999,United,,JenniferWalshPR,,0,@united I'd rather have the truth about my flight than be forced to sit here all day. Trying to get home to this. http://t.co/U69fAfqhsF,,2015-02-19 17:54:47 -0800,Houston,Central Time (US & Canada)
4337,570302460235026433,neutral,1.0,,,Southwest,,brittanylinnes,,0,@SouthwestAir can you follow me so I can send you the info?,,2015-02-24 11:21:16 -0800,"New York, NY",Eastern Time (US & Canada)
2979,568809558786899968,positive,1.0,,,United,,ticopilot,,0,"@united as u might imagine, this former pilot was particularly touched by the gesture. Please let the FO know #keepingtraditionsalive",,2015-02-20 08:29:01 -0800,"Washington, DC - USA",Eastern Time (US & Canada)
3654,568204231271796736,positive,0.6753,,,United,,RobandMeg,,0,"@united landing in anchorage, then on our way to fairbanks! http://t.co/FjkvQMbmaS",,2015-02-18 16:23:40 -0800,"Staten Island, NY",Eastern Time (US & Canada)
3730,568165907975053312,positive,1.0,,,United,,kklausser,,0,"@united Just did, thanks for checking! :)",,2015-02-18 13:51:23 -0800,"Jacksonville, FL",Eastern Time (US & Canada)
1334,569815968194678784,negative,0.6907,Lost Luggage,0.6907,United,,8629Fissile,,0,@united Do you have a further update on the suitcase today please.,,2015-02-23 03:08:08 -0800,,London
145,569609971383586817,negative,1.0,Cancelled Flight,1.0,Virgin America,,mlorenzen,,0,"@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :(",,2015-02-22 13:29:34 -0800,"iPhone: 29.741360,-90.131523",Pacific Time (US & Canada)
11196,568442952176918528,negative,1.0,Flight Attendant Complaints,1.0,US Airways,,RodrigoATCG,,0,"@USAirways of course! ""Yeah, travel has gotten harder. Ask other passengers if they will switch"" it's not the fact, it's the attitude!",,2015-02-19 08:12:15 -0800,"Boston, MA",Eastern Time (US & Canada)
14025,569676304154554368,positive,1.0,,,American,,whague,,0,@AmericanAir Awesome customer service on #390 from rdu. They snuck my wife a warm cookie. Thx!,"[41.9774863, -87.90414419]",2015-02-22 17:53:09 -0800,60093,Central Time (US & Canada)
5967,568454304488673280,positive,1.0,,,Southwest,,kimmck64,,0,@SouthwestAir ..just booked trip to Cancun...❤️ no baggage fees..but need to have more flight time options,,2015-02-19 08:57:22 -0800,,Central Time (US & Canada)
1041,569955551951622144,negative,0.6721,Customer Service Issue,0.6721,United,,underceg,,0,"@united Change made in just over 3 hours. For something that should have taken seconds online, I am not thrilled. Loved the agent, though.",,2015-02-23 12:22:47 -0800,San Francisco CA,Pacific Time (US & Canada)
10692,568969970513653762,negative,1.0,Customer Service Issue,0.3529,US Airways,,MattStropoli,,0,"@USAirways literally the worst flying experience of my life, and I have flown a lot",,2015-02-20 19:06:26 -0800,California,
11164,568469645843279872,positive,1.0,,,US Airways,,cahillwilliamr,,0,"@USAirways #success made flight , please thank the crew of 556 great time recovery",,2015-02-19 09:58:19 -0800,,
3697,568183502161743873,negative,1.0,Late Flight,1.0,United,,frannie_ryan,,0,@united Tks for reply. PSP employees blamed Late Flight departure on POTUS when main reasons were DVR flt Late Flight &amp; insufficient ground crew to handle,,2015-02-18 15:01:17 -0800,Memphis TN,Central Time (US & Canada)
9383,569960704717008896,negative,1.0,Lost Luggage,0.6494,US Airways,,Taryn_Sunstrom,,0,@USAirways you guys Cancelled Flightled two of my flights yesterday and I checked the bag to Huntsville and it went missing in Philly.,,2015-02-23 12:43:16 -0800,The Shire,Atlantic Time (Canada)
12431,570189934096719873,neutral,1.0,,,American,,MarkJDiSalvo,,0,"@AmericanAir and @CVGairport get it together, perfect combination for delays and Cancelled Flightlations",,2015-02-24 03:54:08 -0800,"Waynesville, OHIO",
301,568824637267685377,negative,1.0,Customer Service Issue,1.0,Virgin America,,miekd,,0,@VirginAmerica Do you guys know your check-in links from emails are broken? http://t.co/2npXB6oBMr,,2015-02-20 09:28:56 -0800,San Francisco,Pacific Time (US & Canada)
6707,567726949049454592,negative,1.0,Bad Flight,1.0,Southwest,,mal0877,,0,"@SouthwestAir I'm an A-list Preferred customer and very loyal SWA. However, your inflight wifi is no better today than it was 4 years ago.",,2015-02-17 08:47:07 -0800,,
9354,569970626057801728,neutral,0.701,,0.0,US Airways,,ElmiraBudMan,,0,@USAirways doesn't take into account the $450 it cost 2 rent a car 2 drive home,,2015-02-23 13:22:41 -0800,Does it really matter,
11461,568100712309256192,positive,0.6678,,0.0,US Airways,,claytonconway,,0,@USAirways yes and our flight attendant (who is wonderful btw) secured the tray table so it's not flailing about. http://t.co/JhXWMuTx4G,,2015-02-18 09:32:19 -0800,Seattle,
9043,570272154635374592,negative,1.0,Lost Luggage,1.0,US Airways,,_Leycar,,0,@USAirways my bag is still lost and I can not get anyone on the phone to assist me and the tracking updates have stopped,,2015-02-24 09:20:51 -0800,,Eastern Time (US & Canada)
8482,568214091229224960,neutral,0.6805,,,Delta,,hill43,,0,@JetBlue ANYWHERE!! http://t.co/FeFHPmFPlE,,2015-02-18 17:02:50 -0800,Evanston Illinois,
8279,568535586325303296,negative,1.0,Late Flight,1.0,Delta,,MissMichelle422,,1,"@JetBlue not cool to announce a flight ""delay"" when everyone is checking in. A 4 hour delay bdl-dca with a staff offering  no help.",,2015-02-19 14:20:21 -0800,,Central Time (US & Canada)
5254,569229483288317952,neutral,1.0,,,Southwest,,Kbono91,,0,@SouthwestAir Any chance there's a few seats open from DEN to DAL this afternoon?,,2015-02-21 12:17:39 -0800,,
7798,569237160886276096,negative,1.0,Can't Tell,0.6543,Delta,,venkatesh_cr,,0,@JetBlue I've been in pricing for 8 years to know that 70 bucks a seat is criminal. 20-30 I understand. #pricing #flying #jetblue #pricewise,,2015-02-21 12:48:09 -0800,Austin Texas,Central Time (US & Canada)
2769,568910220644237312,negative,1.0,Late Flight,1.0,United,,fambai,,0,@united this delay of flight UA4636 has been painful. I sure hope it doesn't cause me or my luggage) to miss my UA82 flight to New Delhi!,,2015-02-20 15:09:01 -0800,the nation's capital,Eastern Time (US & Canada)
14266,569644070470963201,negative,1.0,Cancelled Flight,1.0,American,,bfriend10,,0,"@AmericanAir been a very long day in Philly...12:13pm flt to ORD Cancelled Flighted with NO notice, no message, no email.  NOT NICE FOR WE PLATINUMS.",,2015-02-22 15:45:04 -0800,Chicago,
3003,568802906280845312,neutral,0.6856,,0.0,United,,jbone3353,,0,"@united I need a breakdown of what the ""international surcharge"" on my flights cover. Please help",,2015-02-20 08:02:35 -0800,,Pacific Time (US & Canada)
6747,570309308937842688,neutral,0.6869,,,Delta,,Oneladyyouadore,,0,@JetBlue I hope so because I fly very often and would hate to change airlines.,,2015-02-24 11:48:29 -0800,Georgia,Quito
9998,569584207011434497,negative,1.0,Bad Flight,0.6442,US Airways,,ericabevill,,0,@USAirways why have me board a plane knowing there is a maint issue?  US5235.,,2015-02-22 11:47:11 -0800,"Chicago, IL",Central Time (US & Canada)
3684,568187636449472513,negative,1.0,Late Flight,1.0,United,,kristen_19,,0,"@united thanks. Weather is understandable, but when every single domestic flight is delayed because of inbound int'l flights, it's crazy",,2015-02-18 15:17:43 -0800,,Quito
8403,568423278555086848,positive,1.0,,,Delta,,DMakesCakes,,0,@JetBlue thank you!!,,2015-02-19 06:54:05 -0800,"Queens, NY",
10974,568650058780041216,negative,1.0,Customer Service Issue,1.0,US Airways,,lj_verde,,0,"@USAirways never flying #USAirways again. Horrible experience, terrible customer service.",,2015-02-19 21:55:13 -0800,DC,Eastern Time (US & Canada)
9844,569644249337110528,negative,1.0,Late Flight,0.6987,US Airways,,dailydebs,,0,@USAirways really? 8 hr delay in Virgin Island and not even a food voucher.,,2015-02-22 15:45:47 -0800,Indiana!,
5905,568495231877967872,negative,0.6596,Can't Tell,0.3404,Southwest,,NieBee,,0,"@SouthwestAir PWM direct to Orlando on Saturdays, why is this only happening in March? I thought it was going to be a permanent thing. :(",,2015-02-19 11:40:00 -0800,Maine,Eastern Time (US & Canada)
996,569970599377788928,negative,1.0,Late Flight,1.0,United,,cristobalwong,,0,"@united I'm trying to get to my final destination, we need compensation. Just about 2hrs of personal time wasted.",,2015-02-23 13:22:35 -0800,San Francisco Bay Area,
